items,freq
['ActiveWear Headphones'],4
['BookWorld Biography'],5
['SoundWave Smartwatch'],7
['HomeSense Sweater'],6
['SoundWave Cookbook'],11
['TechPro Novel'],7
['HomeSense Desk Lamp'],10
['HomeSense Novel'],6
['ComfortLiving Biography'],6
['HomeSense Rug'],4
['ActiveWear Running Shoes'],7
['ActiveWear Jeans'],4
['ActiveWear Smartphone'],6
['SoundWave Novel'],7
['HomeSense Wall Art'],4
['ActiveWear Rug'],8
['TechPro Textbook'],6
['ActiveWear Smartwatch'],15
['ActiveWear Jacket'],6
['SoundWave Jeans'],4
['TechPro Cookbook'],6
['TechPro T-Shirt'],7
['SoundWave Rug'],4
['TechPro Headphones'],8
['BookWorld Sweater'],7
['ComfortLiving Smartphone'],4
['SoundWave Desk Lamp'],8
['ComfortLiving Bluetooth Speaker'],5
['ActiveWear Textbook'],13
['BookWorld Cookbook'],6
['SoundWave Mystery Book'],7
['SoundWave Headphones'],5
['ActiveWear Cookware Set'],10
['TechPro Smartwatch'],6
['TechPro Running Shoes'],4
['TechPro Vase'],6
